Fidelity,True_Fidelity,Shots_Givens_Gate
0.9366275074122111,0.941278541528117,73752
0.9801774018862408,0.9753262510398721,90954
0.9874368184413471,0.9835732996074074,79076
0.9637795603042204,0.9620023395997787,73673
0.9312955025740484,0.9179890731798908,87710
0.9401214271462008,0.9325651252399033,75388
0.9889939458572984,0.9882035948915061,98574
0.9400848246310138,0.9416528005795789,95742
0.9867058224464782,0.9875694881274272,89612
0.948394586842789,0.9416284457800578,87160
0.961316845338027,0.9648167593481355,87346
0.9750967593616886,0.9711571624683712,88883
0.9930175715579015,0.9931047026297393,84607
0.9232652411955079,0.9243023745613151,83836
0.9290834026192581,0.9254230399581632,75679
